p
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""88"",DstPort: [0],Protocol: ""any"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""4"",DstPort: [0],Protocol: ""any"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""101"",DstPort: [0],Protocol: ""ip"",SrcIP: ""172.17.0.0/16""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""172.27.16.32/27"",Index: ""100"",DstPort: [0],Protocol: ""ip"",SrcIP: ""172.17.0.0/16""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""103"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""140"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""150"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""135"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""139"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""141"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""138"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""102"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""137"",DstPort: [0],Protocol: ""tcp"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.8.185"",Index: ""108"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.113"",Index: ""108"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.8.139"",Index: ""108"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.8.75"",Index: ""108"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.22"",Index: ""108"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
"(:line {Action: ""permit"",SrcPort: ""any"",DstIP: ""any"",Index: ""168"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})-[:Correlation_3]->(:line {Action: ""deny"",SrcPort: ""any"",DstIP: ""171.64.9.94"",Index: ""108"",DstPort: [0],Protocol: ""ip"",SrcIP: ""any""})"
